блок                что меряется                                                 значение                 баллы                           источник                              
------------------  -----------------------------------------------------------  -----------------------  ------------------------------  --------------------------------------
Ранжирование        mAP@10 без постобработки                                     72.0                     32.4 / 45 (допущение: линейно)  results\hack_ft_soup_b336_val_val.json
Ранжирование        mAP@10 с постобработкой (k-recip 6/2, в релизе)              74.9                     33.7 / 45 (допущение: линейно)  тот же файл, блок postprocess         
Ранжирование        — для сравнения: dba k=5 + k-recip 6/2 ЗАПРЕЩЕНО (ответ 38)  76.4                     не идёт в балл                  тот же файл, блок postprocess         
Отказ               0.7*F1 + 0.3*TNR (F1 96.2, TNR 99.6)                         97.2                     9.7 / 10                        тот же файл, блок refusal             
Отказ               mINP (справочно, в балл не входит)                           70.7                     —                               тот же файл                           
Производительность  латентность batch=1, медиана (300 прогонов)                  37.5 мс                  10.0 / 10                       results/bench_full.json               
Производительность  лучший FPS (batch 8)                                         136.6                    10.0 / 10                       results/bench_full.json               
Производительность  суммарный размер весов, МБ (лимит 2048)                      164.0                    —                               results/bench_full.json               
Производительность  время загрузки весов, с                                      4.44                     —                               results/bench_full.json               
Производительность  пик VRAM, МБ                                                 1455.9                   —                               results/bench_full.json               
Производительность  два прогона совпали бит в бит                                True                     —                               results/bench_full.json               
Сдача               отказов на открытом тесте                                    92 из 1110 (8.3%)        —                               submission_soup/run_info.json         
Сдача               размерность вектора                                          1536                     —                               submission_soup/run_info.json         
Сдача               весь прогон, с                                               58.0                     —                               submission_soup/run_info.json         
Перенос порога      сдвиг медианы уверенности релизной модели                    +0.0025                  —                               results/threshold_transfer.json       
Перенос порога      решений перевернулось бы при выравнивании доли               1 из 1110                —                               results/threshold_transfer.json       
Размер галереи      mAP@10 при галерее 313 против 688                            79.3 против 72.0 (-7.3)  —                               results/gallery_size_effect.json      

Блоки: ранжирование 45%, отказ 10%, производительность 20%. Защита и продукт (25%) не здесь.
