ReID service: http://127.0.0.1:8765  (OpenAPI: /docs)
  ядро   E:\Хакатон
  релиз  E:\Хакатон\release
  данные E:\Хакатон\var\service
  device cuda
INFO:     Started server process [8784]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8765 (Press CTRL+C to quit)
INFO:     127.0.0.1:64675 - "GET /v1/demo HTTP/1.1" 200 OK
INFO:     127.0.0.1:64676 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52293 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:52293 - "GET /static/app.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:51003 - "GET /static/app.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51003 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:51003 - "GET /favicon.ico HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:51003 - "GET /v1/gallery?offset=0&limit=24 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51003 - "GET /v1/gallery/items/df7ea50171af48df81584ab7e8107d15/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:54839 - "GET /v1/gallery/items/41e657daa20545a588584578bdb4101c/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:55501 - "GET /v1/gallery/items/fbfaa119f55a477984e42d80498f54d3/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:52293 - "GET /v1/gallery/items/e79ae27b52fa4d54aa37735fd275c66e/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:64852 - "GET /v1/gallery/items/23199e1859544647893a97ea365c5c83/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:54093 - "GET /v1/gallery/items/34b736136487439389c10cc6bd4e9f4e/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:55501 - "GET /v1/gallery/items/04d24d1cf42b4f7787d8d300cbad6d50/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:52293 - "GET /v1/gallery/items/dd36cc0867b94d55a43b82c1c9a0e95c/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:54839 - "GET /v1/gallery/items/0accd1d0138b49049d437c0d9b1c23c3/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:51003 - "GET /v1/gallery/items/57bcda73abab44ee930b20cdaee9d24b/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:64852 - "GET /v1/gallery/items/b83013f4c5524232814efa0f8651867f/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:54093 - "GET /v1/gallery/items/27fe100af7884932a33bf30f10dacc55/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:54839 - "GET /v1/gallery/items/1aaf8edc37ea412b85e3d1b5c5317051/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:52293 - "GET /v1/gallery/items/c3f66637872c4141ab3898296739457d/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:64852 - "GET /v1/gallery/items/51c6049a18b84ee381d0512e40b67c0e/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:54093 - "GET /v1/gallery/items/6b4676aba2a746b3ab778315afc8ee82/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:51003 - "GET /v1/gallery/items/da61d9bc8f024a4aba18d5c3072b7838/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:64852 - "GET /v1/demo HTTP/1.1" 200 OK
INFO:     127.0.0.1:55501 - "GET /v1/gallery/items/ce4fdd5499f8498793c11e586f7da70c/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:54839 - "GET /v1/gallery/items/7226603f024c45c6a6e44b00e52e8aad/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:52293 - "GET /v1/gallery/items/f12e9e5805534d719f829332d1ea5d29/image?crop=true HTTP/1.1" 200 OK
INFO:     127.0.0.1:52293 - "GET /v1/demo/query.jpg HTTP/1.1" 200 OK
[models] ft:release: vit_base_patch14_dinov2.lvd142m, D=1536, input=336, device=cuda
INFO:     127.0.0.1:59125 - "POST /v1/search?mode=exact HTTP/1.1" 200 OK
INFO:     127.0.0.1:59125 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:54269 - "POST /v1/explain HTTP/1.1" 200 OK
INFO:     127.0.0.1:54643 - "POST /v1/search?mode=exact HTTP/1.1" 200 OK
INFO:     127.0.0.1:54643 - "POST /v1/search?mode=ann HTTP/1.1" 200 OK
