[hackathon] train.csv: 9556 bbox, 1541 vehicle_id, 9556 кадров
[hackathon] камеры из CSV: 96 шт. — псевдокамера не нужна
[hackathon] протокол «track», fit: 7655 bbox / 1233 id; val query: 1213 (без пары: 243), gallery: 688
[train] кропы fit: 7655 (0 c)
[train] vit_large_patch14_dinov2.lvd142m, D=2048, id=1233, device=cuda
[train] авто-батч: оценка по P=2: 2.20 ГБ на машину (×K=4), база 1.1 ГБ, бюджет 12.7 ГБ → пробую P=5
[train] авто-батч: P=5 (×K=4 = 20 кропов), пик 11.1 ГБ из 15.9
[val] до обучения: rank1=  8.7%  rank5= 19.0%  rank10= 25.5%  mAP= 11.7%  (queries 970/970, gallery 688)
[ep 01] loss=14.701 rank1= 36.6%  rank5= 59.6%  rank10= 67.8%  mAP= 40.5%  (queries 970/970, gallery 688) (367 c)
[ep 02] loss=11.944 rank1= 55.1%  rank5= 76.8%  rank10= 83.7%  mAP= 58.9%  (queries 970/970, gallery 688) (367 c)
[ep 03] loss=8.617 rank1= 62.1%  rank5= 81.5%  rank10= 88.2%  mAP= 64.9%  (queries 970/970, gallery 688) (366 c)
[ep 04] loss=6.279 rank1= 65.8%  rank5= 83.5%  rank10= 90.4%  mAP= 68.4%  (queries 970/970, gallery 688) (367 c)
[ep 05] loss=4.752 rank1= 68.2%  rank5= 86.2%  rank10= 92.2%  mAP= 71.3%  (queries 970/970, gallery 688) (366 c)
[ep 06] loss=3.632 rank1= 67.9%  rank5= 87.1%  rank10= 91.9%  mAP= 71.5%  (queries 970/970, gallery 688) (366 c)
[ep 07] loss=2.911 rank1= 70.3%  rank5= 88.1%  rank10= 93.4%  mAP= 73.8%  (queries 970/970, gallery 688) (366 c)
[ep 08] loss=2.416 rank1= 71.3%  rank5= 88.8%  rank10= 93.1%  mAP= 74.7%  (queries 970/970, gallery 688) (366 c)
[ep 09] loss=2.040 rank1= 72.0%  rank5= 89.3%  rank10= 93.3%  mAP= 75.1%  (queries 970/970, gallery 688) (366 c)
[ep 10] loss=1.812 rank1= 72.2%  rank5= 89.2%  rank10= 94.4%  mAP= 75.5%  (queries 970/970, gallery 688) (370 c)
[ep 11] loss=1.646 rank1= 72.9%  rank5= 89.7%  rank10= 93.6%  mAP= 76.0%  (queries 970/970, gallery 688) (365 c)
[ep 12] loss=1.539 rank1= 72.0%  rank5= 90.0%  rank10= 94.3%  mAP= 75.7%  (queries 970/970, gallery 688) (366 c)
[ep 13] loss=1.448 rank1= 72.2%  rank5= 90.4%  rank10= 94.1%  mAP= 76.1%  (queries 970/970, gallery 688) (365 c)
[ep 14] loss=1.396 rank1= 72.9%  rank5= 90.1%  rank10= 94.2%  mAP= 76.0%  (queries 970/970, gallery 688) (366 c)
[ep 15] loss=1.328 rank1= 72.8%  rank5= 89.6%  rank10= 94.5%  mAP= 76.0%  (queries 970/970, gallery 688) (366 c)
[ep 16] loss=1.289 rank1= 73.3%  rank5= 89.9%  rank10= 94.2%  mAP= 76.1%  (queries 970/970, gallery 688) (365 c)
[ep 17] loss=1.270 rank1= 72.9%  rank5= 90.8%  rank10= 94.0%  mAP= 75.9%  (queries 970/970, gallery 688) (366 c)
[ep 18] loss=1.239 rank1= 72.5%  rank5= 90.5%  rank10= 94.6%  mAP= 75.7%  (queries 970/970, gallery 688) (365 c)
[ep 19] loss=1.244 rank1= 72.4%  rank5= 90.3%  rank10= 94.2%  mAP= 75.7%  (queries 970/970, gallery 688) (366 c)
[ep 20] loss=1.243 rank1= 73.1%  rank5= 90.6%  rank10= 94.2%  mAP= 76.2%  (queries 970/970, gallery 688) (365 c)
[train] лучший mAP=76.2% (эпоха 20) → weights\hack_dinov2_l_336_ls\best.pt
